Serial Number,Firmware Version,Date/Time,Coincidence Mode,Acquisition Time,Coincidences,Tile-A,Tile-B,Tile-C,Hits Per Minute,Pressure,Altitude,Temperature,Humidity
49725,53,02/09/2024 10:59:22,AB,600,1358,2841,2644,0,0.037722223,983.29,320.67,22.39,67.87
49725,53,02/09/2024 11:09:21,AB,600,1389,2864,2738,0,0.038583335,983.39,319.85,22.51,67.93
49725,53,02/09/2024 11:19:21,AB,600,1333,2758,2599,0,0.037027776,983.32,320.41,22.68,68.77
49725,53,02/09/2024 11:29:21,AB,600,1355,2867,2675,0,0.03763889,983.26,320.96002,22.8,69.31
49725,53,02/09/2024 11:39:23,AB,600,1410,2798,2724,0,0.039166667,983.16,321.79,22.86,68.54
49725,53,02/09/2024 11:49:22,AB,600,1363,2858,2671,0,0.037861113,983.15,321.86002,22.86,67.07
49725,53,02/09/2024 11:59:22,AB,600,1306,2761,2587,0,0.03627778,983.21,321.39,22.79,66.78
49725,53,02/09/2024 12:09:24,AB,600,1346,2865,2650,0,0.037388887,983.3,320.65002,22.76,66.44
49725,53,02/09/2024 12:19:24,AB,600,1336,2784,2631,0,0.03711111,983.17,321.71002,22.64,66.15
49725,53,02/09/2024 12:29:24,AB,600,1305,2809,2624,0,0.03625,983.1,322.35,22.57,66.62
49725,53,02/09/2024 12:39:23,AB,600,1263,2819,2546,0,0.035083335,983.24,321.1,22.54,66.71
49725,53,02/09/2024 12:49:23,AB,600,1315,2782,2666,0,0.036527775,983.26,320.93,22.48,67.53
49725,53,02/09/2024 12:59:25,AB,600,1327,2816,2645,0,0.03686111,983.11,322.2,22.42,67.88
49725,53,02/09/2024 13:09:25,AB,600,1354,2923,2606,0,0.037611112,983.14,321.98,22.36,68.15
