Serial Number,Firmware Version,Date/Time,Coincidence Mode,Acquisition Time,Coincidences,Tile-A,Tile-B,Tile-C,Hits Per Minute,Pressure,Altitude,Temperature,Humidity
49725,53,02/09/2024 19:18:00,AB,3600,117,17041,16811,0,5.4166664E-4,981.75,333.84,22.84,68.36
49725,53,02/09/2024 20:18:00,AB,3600,106,17252,16881,0,4.9074076E-4,982.06,331.24002,22.42,69.93
49725,53,02/09/2024 21:18:00,AB,3600,105,17257,16955,0,4.8611112E-4,982.65,326.13,22.03,69.47
49725,53,02/09/2024 22:18:00,AB,3600,104,17361,17291,0,4.814815E-4,982.77,325.11002,21.66,69.78
49725,53,02/09/2024 23:18:00,AB,3600,110,17514,17064,0,5.0925923E-4,983.19,321.59003,21.66,70.86
49725,53,03/09/2024 00:18:00,AB,3600,110,17436,16986,0,5.0925923E-4,983.35,320.22003,21.5,69.67
49725,53,03/09/2024 01:18:00,AB,3600,103,17323,17286,0,4.7685186E-4,983.11,322.27002,21.38,69.86
49725,53,03/09/2024 02:18:01,AB,3600,103,17367,16938,0,4.7685186E-4,983.09,322.41,21.37,68.86
49725,53,03/09/2024 03:18:01,AB,3600,87,17352,16788,0,4.0277778E-4,983.36,320.12,21.25,71.96
49725,53,03/09/2024 04:18:01,AB,3600,91,17334,16939,0,4.212963E-4,983.42,319.58002,21.08,71.98
49725,53,03/09/2024 05:18:02,AB,3600,97,17313,16899,0,4.4907405E-4,983.62,317.90002,21.02,72.56
49725,53,03/09/2024 06:18:02,AB,3600,118,17468,17054,0,5.462963E-4,983.66,317.57,21.04,71.7
49725,53,03/09/2024 07:18:02,AB,3600,129,17339,16799,0,5.972222E-4,984.0,314.61002,20.92,72.6
49725,53,03/09/2024 08:18:03,AB,3600,101,17417,17042,0,4.675926E-4,984.2,312.94,20.94,73.56
